Start training script: Fri Nov 21 22:16:28 2025
[Epoch 96/200]Train Loss: 0.1869 Acc: 0.9278 | Val Loss: 0.2179 Acc: 0.9163
[Epoch 97/200]Train Loss: 0.1900 Acc: 0.9234 | Val Loss: 0.2267 Acc: 0.9133
[Epoch 98/200]Train Loss: 0.1792 Acc: 0.9322 | Val Loss: 0.2334 Acc: 0.9100
[Epoch 99/200]Train Loss: 0.1868 Acc: 0.9270 | Val Loss: 0.2106 Acc: 0.9193
[Epoch 100/200]Train Loss: 0.1872 Acc: 0.9298 | Val Loss: 0.2531 Acc: 0.9032
[Epoch 101/200]Train Loss: 0.1819 Acc: 0.9304 | Val Loss: 0.2265 Acc: 0.9136
[Epoch 102/200]Train Loss: 0.1865 Acc: 0.9263 | Val Loss: 0.2477 Acc: 0.9026
[Epoch 103/200]Train Loss: 0.1773 Acc: 0.9318 | Val Loss: 0.2243 Acc: 0.9127
[Epoch 104/200]Train Loss: 0.1825 Acc: 0.9298 | Val Loss: 0.2198 Acc: 0.9118
[Epoch 105/200]Train Loss: 0.1877 Acc: 0.9287 | Val Loss: 0.2404 Acc: 0.9097
[Epoch 106/200]Train Loss: 0.1747 Acc: 0.9327 | Val Loss: 0.2273 Acc: 0.9151
[Epoch 107/200]Train Loss: 0.1802 Acc: 0.9307 | Val Loss: 0.2120 Acc: 0.9184
[Epoch 108/200]Train Loss: 0.1784 Acc: 0.9315 | Val Loss: 0.2233 Acc: 0.9112
[Epoch 109/200]Train Loss: 0.1753 Acc: 0.9324 | Val Loss: 0.2748 Acc: 0.9011
[Epoch 110/200]Train Loss: 0.1757 Acc: 0.9295 | Val Loss: 0.2245 Acc: 0.9121
[Epoch 111/200]Train Loss: 0.1751 Acc: 0.9328 | Val Loss: 0.2218 Acc: 0.9136
[Epoch 112/200]Train Loss: 0.1758 Acc: 0.9306 | Val Loss: 0.2284 Acc: 0.9139
[Epoch 113/200]Train Loss: 0.1684 Acc: 0.9361 | Val Loss: 0.2463 Acc: 0.9065
[Epoch 114/200]Train Loss: 0.1670 Acc: 0.9377 | Val Loss: 0.2189 Acc: 0.9166
Early stopping triggered.
Completed in 387.74 seconds.
