2025-11-30 23:27:14,004 [INFO] app.main(): Loaded task configs [(<TrueTaskType.MenuSelect: 'Menu Selection'>, 5, [{'target_index': 4}, {'target_index': 5}, {'target_index': 4}, {'target_index': 5}, {'target_index': 3}]), (<TrueTaskType.DragDrop: 'Drag and Drop'>, 5, [{'target_area': 'B'}, {'target_area': 'D'}, {'target_area': 'A'}, {'target_area': 'B'}, {'target_area': 'D'}]), (<TrueTaskType.KeyboardInput: 'Keyboard Input'>, 5, [{'target_word': 'TYPING'}, {'target_word': 'MONITOR'}, {'target_word': 'NETWORK'}, {'target_word': 'PRACTICE'}, {'target_word': 'LANGUAGE'}])]
2025-11-30 23:27:17,043 [INFO] controller.start_study(): Study started.
2025-11-30 23:27:19,272 [INFO] controller.start_next_trial(): Start trial 1 of task MenuSelect
2025-11-30 23:27:23,440 [DEBUG] mouse_listener.on_move(): Mouse moved to (702.0, 428.0)
2025-11-30 23:27:23,447 [DEBUG] mouse_listener.on_move(): Mouse moved to (692.0, 425.0)
2025-11-30 23:27:23,455 [DEBUG] mouse_listener.on_move(): Mouse moved to (676.0, 420.0)
2025-11-30 23:27:23,462 [DEBUG] mouse_listener.on_move(): Mouse moved to (667.0, 417.0)
2025-11-30 23:27:23,470 [DEBUG] mouse_listener.on_move(): Mouse moved to (660.0, 415.0)
2025-11-30 23:27:23,477 [DEBUG] mouse_listener.on_move(): Mouse moved to (652.0, 413.0)
2025-11-30 23:27:23,485 [DEBUG] mouse_listener.on_move(): Mouse moved to (648.0, 412.0)
2025-11-30 23:27:23,492 [DEBUG] mouse_listener.on_move(): Mouse moved to (643.0, 410.0)
2025-11-30 23:27:23,500 [DEBUG] mouse_listener.on_move(): Mouse moved to (641.0, 410.0)
2025-11-30 23:27:23,514 [DEBUG] mouse_listener.on_move(): Mouse moved to (639.0, 409.0)
2025-11-30 23:27:23,529 [DEBUG] mouse_listener.on_move(): Mouse moved to (638.0, 409.0)
2025-11-30 23:27:23,567 [DEBUG] mouse_listener.on_click(): right_press at (638, 409)
2025-11-30 23:27:23,568 [DEBUG] menu_select.show_context_menu(): show context menu at PySide6.QtCore.QPoint(488, 199)
2025-11-30 23:27:23,573 [DEBUG] mouse_listener.start_record_distance(): Started recording mouse movement distance.
2025-11-30 23:27:23,649 [DEBUG] mouse_listener.on_click(): right_release at (638, 409)
2025-11-30 23:27:23,741 [DEBUG] mouse_listener.on_move(): Mouse moved to (640.0, 410.0)
2025-11-30 23:27:23,746 [DEBUG] mouse_listener.on_move(): Mouse moved to (642.0, 412.0)
2025-11-30 23:27:23,753 [DEBUG] mouse_listener.on_move(): Mouse moved to (645.0, 415.0)
2025-11-30 23:27:23,760 [DEBUG] mouse_listener.on_move(): Mouse moved to (647.0, 418.0)
2025-11-30 23:27:23,768 [DEBUG] mouse_listener.on_move(): Mouse moved to (649.0, 419.0)
2025-11-30 23:27:23,775 [DEBUG] mouse_listener.on_move(): Mouse moved to (651.0, 422.0)
