participant_id,task,trail,label,consecutive_frames
0,LEFT_CLICK,8,LEFT_PRESS,10
0,LEFT_CLICK,8,LEFT_RELEASE,12
0,LEFT_CLICK,8,NONE,23
0,LEFT_CLICK,9,NONE,35
0,LEFT_CLICK,9,LEFT_PRESS,9
0,LEFT_CLICK,9,LEFT_RELEASE,13
0,LEFT_CLICK,9,NONE,24
0,MENU_NAVIGATION,0,NONE,36
0,MENU_NAVIGATION,0,RIGHT_PRESS,10
0,MENU_NAVIGATION,0,RIGHT_RELEASE,10
0,MENU_NAVIGATION,0,NONE,15
0,MENU_NAVIGATION,0,LEFT_PRESS,12
0,MENU_NAVIGATION,0,LEFT_RELEASE,11
0,MENU_NAVIGATION,0,NONE,17
0,MENU_NAVIGATION,1,NONE,32
0,MENU_NAVIGATION,1,RIGHT_PRESS,12
0,MENU_NAVIGATION,1,RIGHT_RELEASE,11
0,MENU_NAVIGATION,1,NONE,19
0,MENU_NAVIGATION,1,LEFT_PRESS,13
0,MENU_NAVIGATION,1,LEFT_RELEASE,14
0,MENU_NAVIGATION,1,NONE,14
0,MENU_NAVIGATION,2,NONE,48
0,MENU_NAVIGATION,2,RIGHT_PRESS,11
0,MENU_NAVIGATION,2,RIGHT_RELEASE,15
0,MENU_NAVIGATION,2,NONE,20
0,MENU_NAVIGATION,2,LEFT_PRESS,16
0,MENU_NAVIGATION,2,LEFT_RELEASE,13
0,MENU_NAVIGATION,2,NONE,21
0,MENU_NAVIGATION,3,NONE,43
0,MENU_NAVIGATION,3,RIGHT_PRESS,11
0,MENU_NAVIGATION,3,RIGHT_RELEASE,10
0,MENU_NAVIGATION,3,NONE,30
0,MENU_NAVIGATION,3,LEFT_PRESS,13
0,MENU_NAVIGATION,3,LEFT_RELEASE,13
0,MENU_NAVIGATION,3,NONE,18
0,MENU_NAVIGATION,4,NONE,35
0,MENU_NAVIGATION,4,RIGHT_PRESS,14
0,MENU_NAVIGATION,4,RIGHT_RELEASE,12
0,MENU_NAVIGATION,4,NONE,13
0,MENU_NAVIGATION,4,LEFT_PRESS,15
0,MENU_NAVIGATION,4,LEFT_RELEASE,15
0,MENU_NAVIGATION,4,NONE,22
0,POINT_N_CLICK,0,NONE,41
0,POINT_N_CLICK,0,LEFT_PRESS,12
0,POINT_N_CLICK,0,LEFT_RELEASE,13
0,POINT_N_CLICK,0,NONE,42
0,POINT_N_CLICK,0,LEFT_PRESS,12
0,POINT_N_CLICK,0,LEFT_RELEASE,14
0,POINT_N_CLICK,0,NONE,39
0,POINT_N_CLICK,0,LEFT_PRESS,12
0,POINT_N_CLICK,0,LEFT_RELEASE,13
0,POINT_N_CLICK,0,NONE,13
0,POINT_N_CLICK,1,NONE,28
0,POINT_N_CLICK,1,LEFT_PRESS,12
0,POINT_N_CLICK,1,LEFT_RELEASE,15
0,POINT_N_CLICK,1,NONE,33
0,POINT_N_CLICK,1,LEFT_PRESS,9
