Start training script: Sun Nov 30 17:03:02 2025
Generating dataset from labeled CSV.
[Epoch 68/100] Train Loss: 0.2432 Acc: 0.9032 | Val Loss: 0.3201 Acc: 0.8793
[Epoch 69/100] Train Loss: 0.2387 Acc: 0.9058 | Val Loss: 0.2679 Acc: 0.8919
[Epoch 70/100] Train Loss: 0.2487 Acc: 0.9029 | Val Loss: 0.3389 Acc: 0.8751
[Epoch 71/100] Train Loss: 0.2382 Acc: 0.9068 | Val Loss: 0.2793 Acc: 0.9004
[Epoch 72/100] Train Loss: 0.2256 Acc: 0.9134 | Val Loss: 0.3441 Acc: 0.8684
[Epoch 73/100] Train Loss: 0.2365 Acc: 0.9088 | Val Loss: 0.2933 Acc: 0.8906
[Epoch 74/100] Train Loss: 0.2424 Acc: 0.9085 | Val Loss: 0.2817 Acc: 0.8901
[Epoch 75/100] Train Loss: 0.2369 Acc: 0.9090 | Val Loss: 0.2724 Acc: 0.8986
[Epoch 76/100] Train Loss: 0.2224 Acc: 0.9154 | Val Loss: 0.2782 Acc: 0.8924
[Epoch 77/100] Train Loss: 0.2323 Acc: 0.9100 | Val Loss: 0.2673 Acc: 0.9004
[Epoch 78/100] Train Loss: 0.2262 Acc: 0.9128 | Val Loss: 0.2749 Acc: 0.8964
[Epoch 79/100] Train Loss: 0.2208 Acc: 0.9173 | Val Loss: 0.2743 Acc: 0.8944
[Epoch 80/100] Train Loss: 0.2227 Acc: 0.9156 | Val Loss: 0.2788 Acc: 0.8986
[Epoch 81/100] Train Loss: 0.2277 Acc: 0.9153 | Val Loss: 0.3706 Acc: 0.8751
[Epoch 82/100] Train Loss: 0.2249 Acc: 0.9133 | Val Loss: 0.2627 Acc: 0.9068
[Epoch 83/100] Train Loss: 0.2114 Acc: 0.9188 | Val Loss: 0.3074 Acc: 0.8862
[Epoch 84/100] Train Loss: 0.2195 Acc: 0.9156 | Val Loss: 0.2756 Acc: 0.8979
[Epoch 85/100] Train Loss: 0.2135 Acc: 0.9199 | Val Loss: 0.3084 Acc: 0.8884
[Epoch 86/100] Train Loss: 0.2224 Acc: 0.9145 | Val Loss: 0.2867 Acc: 0.8959
[Epoch 87/100] Train Loss: 0.2095 Acc: 0.9209 | Val Loss: 0.2788 Acc: 0.8997
[Epoch 88/100] Train Loss: 0.2066 Acc: 0.9208 | Val Loss: 0.2845 Acc: 0.8906
[Epoch 89/100] Train Loss: 0.2090 Acc: 0.9180 | Val Loss: 0.2739 Acc: 0.8990
[Epoch 90/100] Train Loss: 0.1945 Acc: 0.9262 | Val Loss: 0.2952 Acc: 0.8908
[Epoch 91/100] Train Loss: 0.2094 Acc: 0.9207 | Val Loss: 0.2504 Acc: 0.9068
[Epoch 92/100] Train Loss: 0.2000 Acc: 0.9234 | Val Loss: 0.2843 Acc: 0.8948
[Epoch 93/100] Train Loss: 0.1989 Acc: 0.9244 | Val Loss: 0.2610 Acc: 0.9037
[Epoch 94/100] Train Loss: 0.2123 Acc: 0.9213 | Val Loss: 0.2572 Acc: 0.9090
[Epoch 95/100] Train Loss: 0.1946 Acc: 0.9245 | Val Loss: 0.2555 Acc: 0.9083
[Epoch 96/100] Train Loss: 0.1962 Acc: 0.9259 | Val Loss: 0.2690 Acc: 0.9001
[Epoch 97/100] Train Loss: 0.1986 Acc: 0.9240 | Val Loss: 0.2861 Acc: 0.8946
[Epoch 98/100] Train Loss: 0.1980 Acc: 0.9250 | Val Loss: 0.2502 Acc: 0.9103
[Epoch 99/100] Train Loss: 0.1937 Acc: 0.9250 | Val Loss: 0.2739 Acc: 0.8999
[Epoch 100/100] Train Loss: 0.1949 Acc: 0.9250 | Val Loss: 0.3304 Acc: 0.8773
Training completed in 331.54 seconds.

---- Test result of model win5-noweight ----
Loss: 0.2525 Acc: 0.9081
Confusion Matrix:

[[2124   47   15    5    8]
 [  43  660   46    0    1]
 [  55   30  580    0    4]
 [  42    0    0  270   34]
 [  49    5    1   29  458]]
Classification Report:

              precision    recall  f1-score   support

           0       0.92      0.97      0.94      2199
           1       0.89      0.88      0.88       750
           2       0.90      0.87      0.88       669
           3       0.89      0.78      0.83       346
           4       0.91      0.85      0.87       542

    accuracy                           0.91      4506
   macro avg       0.90      0.87      0.88      4506
weighted avg       0.91      0.91      0.91      4506

Start training with config: win5-weight01
Config details: TrainingConfig(name='win5-weight01', weight=[1.0, 1.0, 1.0, 1.0, 1.0], learning_rate=0.005, max_epochs=100, early_stopping_patience=10)
[Epoch 1/100] Train Loss: 0.1876 Acc: 0.9279 | Val Loss: 0.2446 Acc: 0.9190
[Epoch 2/100] Train Loss: 0.1904 Acc: 0.9284 | Val Loss: 0.2531 Acc: 0.9070
[Epoch 3/100] Train Loss: 0.2036 Acc: 0.9242 | Val Loss: 0.2610 Acc: 0.9024
[Epoch 4/100] Train Loss: 0.1926 Acc: 0.9265 | Val Loss: 0.2609 Acc: 0.9079
[Epoch 5/100] Train Loss: 0.1918 Acc: 0.9255 | Val Loss: 0.2340 Acc: 0.9188
[Epoch 6/100] Train Loss: 0.1884 Acc: 0.9273 | Val Loss: 0.2607 Acc: 0.9057
