timestamp,task,trail,WRIST,THUMB_CMC,THUMB_MCP,THUMB_IP,THUMB_TIP,INDEX_FINGER_MCP,INDEX_FINGER_PIP,INDEX_FINGER_DIP,INDEX_FINGER_TIP,MIDDLE_FINGER_MCP,MIDDLE_FINGER_PIP,MIDDLE_FINGER_DIP,MIDDLE_FINGER_TIP
73124,BA_SCROLL,0,0.25325590687180743_0.7817777450178593_-0.0046214155075118574,0.31552421209713627_0.7313043561585142_0.00802033351532068,0.369300260531765_0.6492842453159334_0.025855212533654925,0.4069125471172321_0.584230600189704_0.049219540955785825,0.4413028844033094_0.5238947862345129_0.07083865882852469,0.31136659906225966_0.4653987681527229_0.027589074431259398,0.3498335869741731_0.3848909852406982_0.020239755347899773,0.383809229873767_0.3329828626914101_0.012855150104755181,0.4155162855934214_0.29533642132664806_-0.010763362003511866,0.2823193516107829_0.4545961648047456_0.00770507548381545,0.33983286119503164_0.3788725987035396_-0.006111225996625117,0.3848554109969951_0.33872706866070607_-0.022069585989852952,0.41710882169289265_0.3019074243185682_-0.0357859572536844
73159,BA_SCROLL,0,0.2533432449276065_0.7813788815573478_-0.004469113511217883,0.3152652554313406_0.7316779205804979_0.007953278376034467,0.36913800190914614_0.6498014225512698_0.025546192426826285,0.406967190317916_0.5845631467434075_0.048563252897790204,0.4413632661369969_0.5241567487683416_0.0698367675693734,0.31152695716156614_0.4656467454162671_0.027398454474130446,0.34978808296778147_0.3854810331266406_0.019959819186156733,0.38358600627831657_0.3334663110576691_0.01252504313086988,0.41513782023995016_0.2957354990608302_-0.0112996115908199,0.2825136538960482_0.4545654499388129_0.007698090601004425,0.33980066495738337_0.379217859503298_-0.0062133304391000215,0.38476605935408414_0.3389598105415104_-0.022220359381787146,0.41712994799838765_0.3020648929975639_-0.03594915197428847
73191,BA_SCROLL,0,0.2529745086332016_0.7812873732436201_-0.004012699867187541,0.315573580869044_0.731690383720868_0.008194201164143537,0.369317751733692_0.6505435501694643_0.025148251095887603,0.40681291612991266_0.5850179995800898_0.04728457014698278,0.4408624994967405_0.5238044377300358_0.06727030142560828,0.3118443512974902_0.46609614026764506_0.02724604046481385,0.35013564096338234_0.38595478804916405_0.019869876399378573,0.3839112535433137_0.33403886934937016_0.012562488508983626,0.41554028415369115_0.2964839325719521_-0.011074033796801048,0.2827717468434926_0.4550846929436041_0.007729177432685903,0.33987980022114045_0.3796339006397478_-0.0062528079441144906,0.38474330483685926_0.3393178859602927_-0.022270759353440736,0.41708564699352824_0.30230270413575255_-0.035959288486931994
73223,BA_SCROLL,0,0.25292840475240175_0.7815464028826158_-0.003747217673479399,0.31539918208758444_0.7326100522426552_0.008182639259256726,0.3692910346255553_0.6521022395420046_0.024320293219468263,0.40682185485369826_0.5864535018369235_0.04520839944234285,0.440993124502025_0.5250778528955155_0.06386938404572191,0.31258778167237633_0.4673167048471727_0.026883547891279332,0.3506719364042813_0.38730148531604025_0.01944483021477111,0.38426957848200505_0.33539874617911164_0.012110571060787976,0.4158076753114631_0.29773397933431034_-0.01147954482437283,0.28350128772213906_0.4560303123859655_0.007722139041566699,0.34001903878912554_0.3800125218370241_-0.0063458602182829265,0.3848355545903126_0.3395265801152801_-0.022450251705965787,0.4172671849780166_0.30256553958271093_-0.03625250459440094
73256,BA_SCROLL,0,0.2525488187821613_0.7820785672752699_-0.003502673536275928,0.3152586020997398_0.7334646744845539_0.008122356238490586,0.3693519213093005_0.6532001555862404_0.023894751073186612,0.4071499053192685_0.5878114616524917_0.0441587666253312,0.44181664725710706_0.5269849088117737_0.06209817299471047,0.3132013312377119_0.46831948984285654_0.026599766871611495,0.35100364433254677_0.388474437058832_0.019129576878382747,0.3842721746168876_0.33663998655205396_0.011731772616872263,0.41567451039115355_0.29884334358364395_-0.011797603516587499,0.28404219581568124_0.4569215084765824_0.007716302320117831,0.3400514475287217_0.3812679487020717_-0.00654294157447528,0.3846456992073758_0.3407489906470947_-0.022826858025806262,0.4170338364643164_0.3036348956458898_-0.03679215789419446
73289,BA_SCROLL,0,0.2514209190966214_0.7825010324548596_-0.002788417094735388,0.315129848160047_0.7338567505930448_0.008343605401139454,0.3691134733591622_0.6541467357398969_0.023472059966139013,0.4068863347015818_0.5889166407308374_0.04260486112674583,0.441911486312308_0.5276764699876514_0.05909485335529444,0.31323428800881575_0.4690025085498529_0.026425197868569866,0.3511761764409215_0.3893122632987227_0.018844543970929772,0.3843085599583264_0.3374043473539784_0.011643629467780648,0.41580891831048145_0.29960527779889146_-0.011747534065492062,0.2839118312508574_0.45771888936793587_0.007706056555910969,0.3399225633765235_0.3824200977922238_-0.006662081197278589,0.38468354244581093_0.34201818312970583_-0.022998198995603812,0.41732161062576834_0.30513602396910444_-0.0371439983891013
73323,BA_SCROLL,0,0.2506558926869651_0.7824669524058433_-0.0019476304258212124,0.3147723272146373_0.7345213040236301_0.00872703051727692,0.3688922689465003_0.6553793349839769_0.022881004572718952,0.4065373027199142_0.5900594562309102_0.040506055427714266,0.44164027970994163_0.528633754973428_0.05543796094561099,0.3137154189839417_0.46948160006917616_0.02616154712361032,0.3518303187467314_0.38947400726373405_0.01850553975686009,0.3850117729220292_0.3374807770202982_0.011195108251806307,0.4166158574686672_0.29994185973987614_-0.012093718092876363,0.28419194783454826_0.458224680385874_0.007677899094068261,0.3404550323029339_0.3829716483784324_-0.006873478901685786,0.3852573458318014_0.34284853621934086_-0.023265308244716083,0.4180145288913923_0.3062747112994596_-0.03750506086719535
73356,BA_SCROLL,0,0.2501180793419854_0.7830596243560102_-0.0018802158503973226,0.3139656579257321_0.7362410103896195_0.008484504867884952,0.36841855177142757_0.6572445948106068_0.02203238575522869,0.40585440467783873_0.5912665820135368_0.03881741601079629,0.44072916469545886_0.5291126819648875_0.05292643703861617,0.3138552771484418_0.4705590230172245_0.025915422534322215,0.35193737163366134_0.3903928778767221_0.0181638121699061,0.38510313281325514_0.3386163242777529_0.010689663852879373,0.4168287625206491_0.30112957922447237_-0.012555783930411091,0.2841492209091639_0.4589090854818712_0.007658849192971589,0.3402220482937479_0.38313842137913756_-0.007035617361308346,0.38489718826326524_0.3431992922990658_-0.023540448032769327,0.4177047451662602_0.30701332029384015_-0.037877601731399715
73389,BA_SCROLL,0,0.2490788658917249_0.783425138411505_-0.0016716460859174523,0.3137816266823826_0.7361948947603651_0.008424132863118997,0.36786963922865024_0.6587097421631828_0.02091225241712546,0.4048181003013378_0.5924982385646258_0.03606762965798319,0.439232731752171_0.5289440514404403_0.04815363365684815,0.31360324156090125_0.4723282513575052_0.025687696085671962,0.351536151283751_0.3924222773074812_0.018059719212433975,0.3842964561693511_0.3402557832495644_0.010650893422467684,0.4158272234831636_0.30195241544905116_-0.012240999444715303,0.2837897172176723_0.4606012273546132_0.0076875043676810275,0.3392815967648811_0.38403086320766494_-0.006901506050301561,0.3837114699022992_0.3433906392072947_-0.0233730924192689,0.4164595477046634_0.3066033739779921_-0.03780953673408828
73423,BA_SCROLL,0,0.2479590980577708_0.7833050855140551_-0.001002442328166564,0.31324716223152616_0.7365085252519566_0.008703379173624317,0.3672772477713174_0.6600166380680097_0.020121958892280384,0.4038601855976682_0.5936990345963601_0.03359686766290618,0.43785141300564917_0.5289528180566492_0.043794368531504216,0.3136111651405057_0.4731391475642757_0.02549301955803266,0.35135864934426153_0.3933789281654124_0.017777743822400792,0.3836491657823437_0.3406928251184046_0.010288201071821193,0.414880092003694_0.3018842408995852_-0.012500681036227642,0.2835693423433212_0.46113450675933143_0.007653942303182031,0.33858275455233156_0.3837300535536503_-0.0069871810784919814,0.382852284299296_0.34263386375231036_-0.02357995129137215,0.4156529921104165_0.30589376838481674_-0.03816943238485974
73456,BA_SCROLL,0,0.247624950279255_0.783416634252919_-0.0008659882500025429,0.3117191160748175_0.7383424574848906_0.008437099478282771,0.3662021204349952_0.6616509056311046_0.019006315502114714,0.40257834518299906_0.5944819303710274_0.030962707076263054,0.43588222178940705_0.528980573765998_0.03995738115008588,0.31384369767064735_0.4739406491156448_0.0251313524838609,0.3513111807592838_0.3939201473083309_0.017182754783682048,0.3834883652949424_0.34168322642620563_0.009437998968762193,0.41476437652806514_0.3030247982296169_-0.013488315088362455,0.28365793740615114_0.46119190335058036_0.007602792582965967,0.3379367831706739_0.3827846524315433_-0.007238498744248053,0.38205853556550495_0.3414916439574758_-0.02403236173795841,0.41512296341336985_0.305319050562193_-0.03893069919196067
73490,BA_SCROLL,0,0.2471492631590043_0.7839718146731482_-0.0006237136595847446,0.31006936749059133_0.7404021092030919_0.008324873881847255,0.3652096187684979_0.6628927307304697_0.01812091460433612,0.4015289475468509_0.5949045779195636_0.028745750764045418,0.43425720622638647_0.5293551848352471_0.03676935830589863,0.313959056427915_0.47505362708060184_0.024811227810090583,0.3509862870127463_0.3945790242263644_0.01653250639347396,0.38282455864144105_0.3423447331585579_0.00871673988374236,0.41393769546111486_0.3032845851542807_-0.014393090490747263,0.2836631231774081_0.4615522172433763_0.0075319814499672875,0.3369722082900791_0.38261137820858615_-0.007630982134245795,0.3805831110871391_0.34093617548321087_-0.02450460786189383,0.4137087225316145_0.30466159153923195_-0.039710235565879326
73523,BA_SCROLL,0,0.2467384641055802_0.784247373232049_-0.00043449062294977813,0.3088943185030474_0.7417889410474712_0.008237127413201803,0.364456369130933_0.6638345255038705_0.017385467812275967,0.4005262855647177_0.5950745035717654_0.02676751379492545,0.43263553731043963_0.5291947854376252_0.03381591577431943,0.3140442504810008_0.4759955853516916_0.02452254370189174,0.35070809723142815_0.3953784951455569_0.016047301568255123,0.38224448849831216_0.34325100348775334_0.00806194557406237,0.41315461408106535_0.30396885250109484_-0.01529637741784157,0.28368574327382956_0.4618529555306935_0.007480802759842605,0.3361262571563553_0.3816259139186451_-0.007792804148596892,0.3796088486032928_0.3395237378261439_-0.024794604139055775,0.4129456865309221_0.3036506153658613_-0.04020955619810294
73557,BA_SCROLL,0,0.24636114872968512_0.7845933474610665_4.702899307236746e-05,0.30766590012066_0.7430728693182321_0.008472030023613353,0.3636376787417123_0.6646198736494038_0.017063626587276524,0.39984653623566396_0.5955218545206203_0.025562093471071436,0.4317432813040402_0.5300598011665675_0.032005091818979474,0.3137031542719772_0.4758961320157894_0.02431869119673144,0.35031741858485566_0.39550328444537924_0.015488632661235568,0.3818747090504503_0.34371422423032716_0.007419931997122211,0.4129061973969782_0.3045524285165314_-0.016209742567856324,0.2832317526829522_0.4612340114200993_0.007434204444540763,0.3353813383380756_0.3817106909280069_-0.008224063918433484,0.37841082923549374_0.3397365969007772_-0.025216041113158835,0.41167662640560015_0.30363918960218306_-0.04082662032126006
