timestamp,task,trail,WRIST,THUMB_CMC,THUMB_MCP,THUMB_IP,THUMB_TIP,INDEX_FINGER_MCP,INDEX_FINGER_PIP,INDEX_FINGER_DIP,INDEX_FINGER_TIP,MIDDLE_FINGER_MCP,MIDDLE_FINGER_PIP,MIDDLE_FINGER_DIP,MIDDLE_FINGER_TIP
18844,BA_LEFT_CLICK,0,0.14646802255453842_0.8217463892016175_0.0030677148529272558,0.19980024263371549_0.8291547159876644_-0.011116225801888585,0.2547592816562335_0.79531526311427_-0.02394247317731915,0.28359374953011907_0.7395277928528416_-0.04334542488016577,0.29223933919671685_0.6871774346267722_-0.05065261229060281,0.26919734471532886_0.654846981665355_0.001699572247369324,0.29662338024179535_0.5964616115154631_-0.007870790509689925,0.3105759711618128_0.562866552857107_-0.02255008763129458,0.32144183647036195_0.5376439097977561_-0.05769147089043511,0.2451185316836463_0.6127839437809952_0.0066538811559585746,0.27684135895699946_0.5352211656909601_-0.0038426816585213673,0.2957813655512037_0.4917851579235252_-0.02486449220894759,0.3135601926908854_0.457717322995632_-0.04991401606135007
18879,BA_LEFT_CLICK,0,0.14332454032851996_0.8193534812381555_0.006716639356087151,0.19621987712470312_0.8261341699382638_-0.008872394687321568,0.2505934534717306_0.793666694515464_-0.022494210914139258,0.27896727166732344_0.7387607344958964_-0.04356020657188012,0.2851686605167668_0.6862074733285539_-0.05206944965666286,0.265281611629273_0.651130867402444_0.0014674766398296633,0.29202150802453675_0.5919709225703722_-0.008478677986708543,0.3052966965480568_0.5576957338552047_-0.023191510308225513,0.3156132279348345_0.5318221333389984_-0.05849191187555991,0.24099971004292384_0.6089635055611426_0.006468588850705466,0.27210446724677634_0.530648617962314_-0.004036183665001451,0.29039391797196884_0.48669474459062073_-0.025268659902564567,0.30775175484545736_0.4518101999683135_-0.05026968914931962
18914,BA_LEFT_CLICK,0,0.14041458767377332_0.8178158204595797_0.009601055527743103,0.19276788888047233_0.8238190848367195_-0.006862358193704911,0.2464600174227321_0.7921042116113642_-0.02094515491752967,0.2743504368635829_0.7385915119627144_-0.04338423733287107,0.2783044321022257_0.6872132778571791_-0.052794606871173794,0.2609633516851628_0.6475555637682991_0.0014941193490684733,0.2868138571631139_0.5885358588067251_-0.009124104057667464,0.2995488821064569_0.5542258042892113_-0.023907728180042553,0.3094586752662636_0.5283224727921094_-0.059409394969426814,0.23655495661866677_0.6053611525972601_0.00630104980711829,0.2670419655592009_0.526041638071786_-0.004224010713739443,0.28488469657430665_0.4817582061796988_-0.0253121278984959,0.30193835093599725_0.446385172170238_-0.049976196675824716
18946,BA_LEFT_CLICK,0,0.13755994102734723_0.8176216682466311_0.0113308518191309,0.189666289549431_0.8225069871534333_-0.005239985141046388,0.24285093594383908_0.7911709286076339_-0.019486719999544978,0.27069503254674404_0.7384820142729304_-0.04269549260038576,0.272261563355273_0.6884382057513195_-0.05290203800739131,0.25662875267533974_0.6445890577002777_0.0017735514306593501,0.2814820305547099_0.5856041658852544_-0.009485134581659484,0.2934113525227815_0.5510557547251618_-0.024215007322829288,0.30252508702354247_0.5254653927653954_-0.05952909746558128,0.2320646066933633_0.6028225095335576_0.00614621282593164,0.2619295441985738_0.5228873938047495_-0.004243025905166664,0.27944374511344927_0.4781949453282042_-0.02495907275308093,0.29654090081868306_0.4418360449169766_-0.04909863812869994
18983,BA_LEFT_CLICK,0,0.1350143834859403_0.8181736151911769_0.013678892329146961,0.1869956163258241_0.821651405572051_-0.0031072655343115678,0.2394306919876076_0.7905441433034351_-0.01774574091739111,0.26696556359118245_0.7384211070810335_-0.04188320197263115,0.26656520041985987_0.6895221700926939_-0.053032418179045374,0.25261749698852315_0.6422602821480762_0.0018805715055122824,0.2767718828551754_0.5833438673761724_-0.009824014981535473,0.28786441746362923_0.5488392198117762_-0.02439786652549213,0.29597253706039284_0.5237841198420465_-0.05963423527312802,0.22783403551338205_0.601234123807266_0.005931043453818585,0.25706677030568215_0.5208441972512886_-0.004283558111409028,0.27419581754766864_0.4758407956542718_-0.024761113750369712,0.2912217078623592_0.43862856088437174_-0.048486636027862295
19012,BA_LEFT_CLICK,0,0.13255409776451366_0.8189708455831174_0.015176568031160433,0.18457849186189068_0.8215758017533257_-0.0014989815372705739,0.23636212046172916_0.7907141613834708_-0.016181457207255785,0.2637147867646696_0.7393489080647292_-0.04081233120043082,0.2613048646701469_0.6923639123169835_-0.052533618678673316,0.2488283127477552_0.6411509743604288_0.002005633919306982,0.27241580659808995_0.5828523547766398_-0.010295738104937394,0.28266557505137824_0.5491368241335701_-0.024950162846438934,0.289632424561034_0.5249192984561872_-0.060396521206955336,0.2238490558128205_0.6006325131266234_0.0057943868758726326,0.25257552179531173_0.5198901223960627_-0.004434135183508936,0.2693237343928255_0.47448833872335333_-0.024698774101282253,0.28606351598242274_0.43604449556952746_-0.04833530262722148
19050,BA_LEFT_CLICK,0,0.13038716071273626_0.8197772633576682_0.015609452754138628,0.1823587853632537_0.8217469900316584_-0.0006785550489807353,0.23339101251146555_0.7910172595877337_-0.015076449049038272,0.26071700763439193_0.7403299727423718_-0.03988334010902249,0.2566725716076767_0.6949752525113627_-0.05183337594669994,0.24495845913336955_0.6408946697929084_0.0022676862946100144,0.2680894472174826_0.5834828425501022_-0.010381743768022792,0.2776886419487564_0.5500525527974567_-0.024879533323520702,0.2837434588653647_0.5261774994262658_-0.060275085899241944,0.21994500867212988_0.600751288382921_0.005691088388160723,0.24827411284316314_0.5199935140469161_-0.004296796321722462,0.2647875233094722_0.4742462443467552_-0.024217559959050096,0.28139406549246593_0.43490498365311653_-0.0475223302889949
19079,BA_LEFT_CLICK,0,0.12870154363652658_0.8206221685047381_0.0178035931824674,0.18037021072087028_0.8220124244266024_0.0010162957489661991,0.2306525911981373_0.7915415250697841_-0.013812772856173978,0.25752591738490305_0.7415492469774667_-0.039338682857062046,0.2522988432711344_0.6974496806162679_-0.05177195044836948,0.24173238777674266_0.6410576728994513_0.0020580259101348804,0.2646924525875237_0.5842456069830444_-0.011211322612894644,0.2734530425892328_0.5517752523247879_-0.025770707049269904,0.2781865262017888_0.5289665251834077_-0.061398174371725865,0.21661370306559546_0.6013817013491897_0.005460916926301207,0.2446020623864232_0.5207034828073571_-0.0046072452663203835,0.26074994672146085_0.4747194971367975_-0.024552232774540647,0.27696048106600035_0.4346099186050799_-0.047839791778650755
19117,BA_LEFT_CLICK,0,0.12721694574944648_0.821091133374805_0.01971315415017047,0.1785019986738947_0.8218904733318704_0.0024102875971931314,0.22783575205759282_0.7920334167034715_-0.012913843930576697,0.2542742105276429_0.7431796737279085_-0.039108411285802225,0.24889459026384203_0.6993092866339751_-0.05200073160713156,0.23858412129526957_0.6413789890619012_0.0018568102230038395,0.2614317751231501_0.5849124429419348_-0.011765113466845408,0.26965034062274734_0.5528614445546851_-0.02627292125884647,0.2735107154072318_0.5302677583585487_-0.06208261828136965,0.21355176019150532_0.6022207594863342_0.005276029483347485,0.2413083438731431_0.5216913844590816_-0.004826049458886842,0.25709227278873636_0.4753974219739644_-0.024630686046636,0.2728493363527392_0.4346986403551028_-0.04783427512957802
19146,BA_LEFT_CLICK,0,0.12595898164266325_0.8214959168583829_0.021644731681046792,0.17659577849786975_0.8218979596820369_0.003793767542373188,0.22510465680564307_0.7924552302957606_-0.01216198082034942,0.2512846995950574_0.7448034483405421_-0.03905325894635876,0.24563693354549287_0.7010012604076439_-0.05260654420046203,0.2356044453211278_0.6415210765530183_0.0015753334728404803,0.2585761182548769_0.5850360820925005_-0.012342962915791239,0.26583020134455715_0.5536956607516277_-0.026863023187430342,0.2681384730673626_0.5318089232357587_-0.06275467261085926,0.21069207527223044_0.6030630117219105_0.005106844396089992,0.2383647123700141_0.5229222675518539_-0.005077057442590125,0.25387250626123203_0.4763859979772733_-0.02480006796277038,0.26919872767670433_0.4352655701229037_-0.04798799591314118
